English	Spanish
1,2,3,4,6,7,8,9-octachlorodibenzofuran	1,2,3,4,6,7,8,9-octaclorodibenzofurano
1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin	1,2,3,4,6,7,8,9-octaclorodibenzo-p-dioxina
1,2,3,4,6,7,8-heptachlorodibenzofuran	1,2,3,4,6,7,8-heptaclorodibenzofurano
1,2,3,4,7,8-hexachlorodibenzofuran	1,2,3,4,7,8-hexaclorodibenzofurano
1,2,3,6,7,8-hexachlorodibenzo-p-dioxin	1,2,3,6,7,8-hexaclorodibenzo-p-dioxina
1,2,3,7,8-pentachlorodibenzofuran	1,2,3,7,8-pentaclorodibenzofurano
1,2,3,7,8-pentachlorodibenzo-p-dioxin	1,2,3,7,8-pentaclorodibenzo-p-dioxina
1-800-QUIT-NOW	1-855-DÉJELO-YA
1-hydroxybenz[a]anthracene	1-hidroxibenzo[a]antraceno
1-hydroxybenzo[c]phenanthrene	1-hidroxibenzo[c]fenantreno
1-hydroxychrysene	1-hidroxicriseno
1-hydroxynapthalene	1-hidroxinaftaleno
1-hydroxyphenanthrene	1-hidroxifenantreno
1-hydroxypyrene	1-hidroxipireno
2-(2-hydroxyethyl)-1-piperidinecarboxylic acid 1-methylpropyl ester	Ácido 1-piperidincarboxílico, 2-(2-hidroxietil)-1-metilpropiléster
2-(diethylamino)-6-methylpyrimidin-4-ol/one	2-(aminodietilo)-6-metilpirimidin-4-ol/ona
2-(N-Ethyl- perfluorooctane sulfonamido) acetate	acetato de 2-(N-etilperfluorooctano sulfonamida)
2-(N-Methyl- perfluorooctane sulfonamido) acetate	acetato de 2-(N-metil-perfluorooctano sulfonamida)
2,2',3,3',4,4',5,5',6-nonachlorobiphenyl	2,2',3,3',4,4',5,5',6-nonaclorobifenilo
2,2',3,3',4,4',5,5'-octachlorobiphenyl	2,2',3,3',4,4',5,5'-octaclorobifenilo
2,2',3,3',4,4',5,6'-octachlorobiphenyl	2,2',3,3',4,4',5,6'-octaclorobifenilo
2,2',3,3',4,4',5,6-octachlorobiphenyl	2,2',3,3',4,4',5,6-octaclorobifenilo
2,2',3,3',4,4',5-heptachlorobiphenyl	2,2',3,3',4,4',5-hexaclorobifenilo
2,2',3,3',4,4'-hexachlorobiphenyl	2,2',3,3',4,4'-hexaclorobifenilo
2,2',3,3',4,5,5'-heptachlorobiphenyl	2,2',3,3',4,5,5'-hexaclorobifenilo
2,2',3,3',4,5',6'-heptachlorobiphenyl	2,2',3,3',4,5',6'-hexaclorobifenilo
2,2',3,3',5,5',6-heptachlorobiphenyl	2,2',3,3',5,5',6-heptaclorobifenilo
2,2',3,4,4',5,5',6-octachlorobiphenyl	2,2',3,4,4',5,5',6-octaclorobifenilo
2,2',3,4,4',5,5'-heptachlorobiphenyl	2,2',3,4,4',5,5'-heptaclorobifenilo
2,2',3,4,4',5',6-heptachlorobiphenyl	2,2',3,4,4',5',6-heptaclorobifenilo
2,2',3,4,4',5'-hexachlorobiphenyl	2,2',3,4,4',5'-hexaclorobifenilo
2,2',3,4',5,5',6-heptachlorobiphenyl	2,2',3,4',5,5',6-heptaclorobifenilo
2,2',3,4',5,5'-hexachlorobiphenyl	2,2',3,4',5,5'-hexaclorobifenilo
2,2',3,4,5'-pentachlorobiphenyl	2,2',3,4,5'-pentaclorobifenilo
2,2',3,5,5',6-hexachlorobiphenyl	2,2',3,5,5',6-hexaclorobifenilo
2,2',4,4',5,5'-hexachlorobiphenyl	2,2',4,4',5,5'-hexaclorobifenilo
2,2',4,4',5-pentachlorobiphenyl	2,2',4,4',5-pentaclorobifenilo
2,2',4,5,5'-pentachlorobiphenyl	2,2',4,5,5'-pentaclorobifenilo
2,2',5,5'-tetrachlorobiphenyl	2,2',5,5'-tetraclorobifenilo
2,2’,3,3’,4,5,5’,6-octachlorobiphenyl	2,2’,3,3’,4,5,5’,6-octaclorobifenilo
2,2’,3,4’,5’,6’-hexachlorobiphenyl	2,2’,3,4’,5’,6’-hexaclorobifenilo
2,3,3',4,4',5,5'-heptachlorobiphenyl	2,3,3',4,4',5,5'-heptaclorobifenilo
2,3,3',4,4',5'-hexachlorobiphenyl	2,3,3',4,4',5'-hexaclorobifenilo
2,3,3',4,4',5-hexachlorobiphenyl	2,3,3',4,4',5-hexaclorobifenilo
2,3,3',4,4',6-hexachlorobiphenyl	2,3,3',4,4',6-hexaclorobifenilo
2,3,3',4,4'-pentachlorobiphenyl	2,3,3',4,4'-pentaclorobifenilo
2,3,3',4',6-pentachlorobiphenyl	2,3,3',4',6-pentaclorobifenilo
2,3',4,4',5,5'-hexachlorobiphenyl	2,3',4,4',5,5'-hexaclorobifenilo
2,3',4,4',5-pentachlorobiphenyl	2,3',4,4',5-pentaclorobifenilo
2,3',4,4'-tetrachlorobiphenyl	2,3',4,4'-tetraclorobifenilo
2,3,7,8-tetrachlorodibenzofuran	2,3,7,8-tetraclorodibenzofurano
2,3,7,8-tetrachlorodibenzo-p-dioxin	2,3,7,8-tetraclorodibenzo-p-dioxina
2,4,4',5-tetrachlorobiphenyl	2,4,4',5-tetraclorobifenilo
2,4,4'-trichlorobiphenyl	2,4,4'-triclorobifenilo
2,4,5-trichlorophenol	2,4,5-triclorofenol
2,4,5-trichlorophenoxyacetic acid	ácido 2,4,5-triclorofenoxiacético
2,4,6-trichlorophenol	2,4,6-triclorofenol
2,4-dichlorophenol	2,4-diclorofenol
2019 Coronavirus Disease	enfermedad del coronavirus 2019
2-hydroxybenzo[c]phenanthrene   	2-hidroxibenzo[c]fenantreno
2-hydroxychrysene	2-hidroxicriseno
2-hydroxyfluorene	2-hidroxifluoreno
2-hydroxynapthalene	2-hidroxinaftaleno
2-hydroxyphenanthrene	2-hidroxifenantreno
2-isopropoxyphenol	2-isopropoxifenol
2-isopropyl-4-methyl-6-hydroxypyrimidine	2-isopropil-4-metil-6-hidroxipirimidina
2-undecanone	2-undecanona
3,3',4,4',5,5'-hexachlorobiphenyl	3,3',4,4',5,5'-hexaclorobifenilo
3,3',4,4',5-pentachlorobiphenyl	3,3',4,4',5-pentaclorobifenilo
3,4,4',5-tetrachlorobiphenyl	3,4,4',5-tetraclorobifenilo
3,5,6-trichloro-2-pyridinol	3,5,6-tricloro-2-piridinol
3-[N-Butyl-N-acetyl]-aminopropionic acid, ethyl ester	butil-acetilaminopropionato de etilo
3-chloro-7-hydroxy-4-methyl-2H-chromen-2-one/ol	3-cloro-7-hidroxi-4-metilo-2H-cromen-2-ona/ol
3-hydroxybenz[a]anthracene	3-hidroxibenzo[a]antraceno
3-hydroxybenzo[a]pyrene	3-hidroxibenzo[a]pireno
3-hydroxybenzo[c]phenanthrene	3-hidroxibenzo[c]fenantreno
3-hydroxychrysene	3-hidroxicriseno
3-hydroxyfluoranthene	3-hidroxifluoranteno
3-hydroxyfluorene	3-hidroxifluoreno
3-hydroxyphenanthrene	3-hidroxifenantreno
3-phenoxybenzoic acid	ácido 3-fenoxibenzoico
4-fluoro-3-phenoxybenzoic acid	ácido 4-fluoro-3-fenobenzoico
4-hydroxychrysene	4-hidroxicriseno
4-hydroxyphenanthrene	4-hidroxifenantreno
6 months and older	6 meses o mayores
	6 meses o más
	de 6 meses en adelante
6-hydroxychrysene	6-hidroxicriseno
9-hydroxybenz[a]anthracene	9-hidroxibenzo[a]antraceno
9-hydroxyfluorene	9-hidroxifluoreno
9-hydroxyphenanthrene	9-hidroxifenantreno
A1C	A1c
A1C test	prueba de A1c
AAPCC	AAPCC
AAT deficiency	deficiencia de AAT
abdominal cramps	cólicos abdominales
abdominoschisis	abdominosquisis
ABG	GA
ablation	ablación
acanthocephaliasis	acantocefaliasis
Acanthocephaliasis	acantocefaliasis
acanthosis nigricans	acantosis nigricans
acarbose	acarbosa
acardia-acephaly	acardia-acefalia
access keys	claves de acceso
acephaly	acefalia
acetaldehyde	acetaldehído
acetochlor	acetoclor
acid-fast bacilli	bacilos acidorresistentes
ACIP	Comité Asesor sobre Prácticas de Vacunación
acquired immune deficiency syndrome	síndrome de inmunodeficiencia adquirida
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida
acrania	acrania
acromium process	acromion
acrylamide	acrilamida
Act Against AIDS	Actúa contra el SIDA
activated partial thromboplastin time	tiempo de tromboplastina parcial activado
Active Bacterial Core surveillance	Sistema Central de Vigilancia Bacteriana Activa
active surveillance	vigilancia activa
active tuberculosis disease	tuberculosis activa
acute flaccid myelitis	mielitis flácida aguda
acute myeloid leukemia	leucemia mielógena aguda
acute respiratory distress syndrome	síndrome de dificultad respiratoria aguda
acyclovir	aciclovir
ADB	Subdivisión de Enfermedades Arbovirales
ADD	TDA
	trastorno por déficit de atención
adenocarcinoma in situ	adenocarcinoma in situ
adenovirus	adenovirus
ADHD	TDAH
adjudication committee	comité de validación
adjudicatory committee	comité de validación
Administration for Children and Families	Administración de Asuntos de Niños y Familias
Administration on Aging	Administración de Asuntos sobre la Vejez
admission diagnosis	diagnóstico del ingreso
admission summary	informe del ingreso
Advisory Committee on Immunization Practices	Comité Asesor sobre Prácticas de Vacunación
aerobic bacteria	bacterias aerobias
AFB	BAAR
Affordable Care Act	Ley del Cuidado de Salud a Bajo Precio
AFM	MFA
African Sleeping Sickness	enfermedad africana del sueño
after vaccination health checker	verificador de salud después de la vacunación
Agency for Healthcare Research and Quality	Agencia para la Investigación y la Calidad del Cuidado de la Salud
Agency for Toxic Substances and Disease Registry	Agencia para Sustancias Tóxicas y el Registro de Enfermedades
agent-based modeling	modelación basada en agentes
Ages and Stages Questionnaire	Cuestionario de Edades y Etapas
